name;id;bbox
Gemeinde Rangsdorf;afg-rangsdorf;[13.390454,52.254861,13.511388,52.321632]
Stadt Rathenow;afs-rathenow;[12.231081,52.546899,12.430892,52.671899]
Stadt Rheinsberg;afs-rheinsberg;[12.641084,53.001401,13.027553,53.209894]
Amt Rhinow;amt-rhinow;[12.197429,52.647514,12.560702,52.805305]
Gemeinde Rietz-Neuendorf;afg-rietz-neuendorf;[14.028841,52.156095,14.343837,52.331761]
Gemeinde Röderland;afg-roderland;[13.405525,51.402806,13.528177,51.506197]
Gemeinde Rüdersdorf bei Berlin;afg-rudersdorf-bei-berlin;[13.740607,52.437593,13.917903,52.529559]
Amt Ruhland;amt-ruhland;[13.793703,51.37263,14.04477,51.484012]
Amt Scharmützelsee;amt-scharmutzelsee;[13.934171,52.176069,14.165089,52.349635]
Gemeinde Schenkendöbern;afg-schenkendobern;[14.369652,51.858517,14.694554,52.057914]
Amt Schenkenländchen;amt-schenkenlandchen;[13.54067,52.026028,13.89401,52.202526]
Gemeinde Schipkau;afg-schipkau;[13.829862,51.483824,13.982439,51.577997]
Amt Schlaubetal;amt-schlaubetal;[14.261562,52.048611,14.612904,52.316564]
Amt Schlieben;amt-schlieben;[13.269543,51.658491,13.548821,51.819911]
Gemeinde Schönefeld;afg-schonefeld;[13.41795,52.310692,13.606398,52.42108]
Gemeinde Schöneiche bei Berlin;afg-schoneiche-bei-berlin;[13.667239,52.45476,13.743902,52.50084]
Stadt Schönewalde;afs-schonewalde;[13.123315,51.712475,13.392191,51.886072]
Gemeinde Schönwalde-Glien;afg-schonwalde-glien;[12.901201,52.58691,13.164802,52.692607]
Gemeinde Schorfheide;afg-schorfheide;[13.396991,52.798988,13.791792,52.999682]
Amt Schradenland;amt-schradenland;[13.516886,51.367729,13.701701,51.440711]
Gemeinde Schulzendorf;afg-schulzendorf;[13.561262,52.337255,13.613505,52.380258]
Stadt Schwarzheide;afs-schwarzheide;[13.794254,51.460508,13.924312,51.514072]
Stadt Schwedt/Oder;afs-schwedtoder;[14.02488,52.961356,14.382348,53.198203]
Gemeinde Schwielowsee;afg-schwielowsee;[12.852134,52.274317,13.02267,52.392883]
Gemeinde Seddiner See;afg-seddiner-see;[12.95082,52.254732,13.066243,52.30582]
Stadt Seelow;afs-seelow;[14.337576,52.512526,14.470358,52.595092]
Amt Seelow-Land;amt-seelow-land;[14.13095,52.402913,14.519737,52.663904]
Stadt Senftenberg / Z?y Komorow;afs-senftenberg;[13.91975,51.427763,14.14249,51.575428]
Stadt Sonnewalde;afs-sonnewalde;[13.506972,51.636771,13.790441,51.756283]
Landkreis Spree-Neiße/ Wokrejs Sprjewja-Nysa;lk-spree-neisse;[14.0728152,51.504898899,14.7658159,52.057696199]
Amt Spreenhagen;amt-spreenhagen;[13.686122,52.276448,14.063342,52.407336]
Stadt Spremberg / Grodk;afs-spremberg;[14.226685,51.505039,14.547672,51.654064]
Gemeinde Stahnsdorf;afg-stahnsdorf;[13.140112,52.319334,13.254137,52.399457]
Stadt Storkow (Mark);afs-storkow-(mark);[13.817772,52.115785,14.066573,52.311568]
Stadt Strausberg;afs-strausberg;[13.813184,52.514198,14.020926,52.603311]
Gemeinde Tauche;afg-tauche;[14.005696,52.048781,14.211091,52.211309]
Stadt Teltow;afs-teltow;[13.233777,52.350081,13.312326,52.416253]
Landkreis Teltow-Fläming;lk-teltow-flaeming;[12.7699232,51.790732799,13.6527633,52.411723999]
Amt Temnitz;amt-temnitz;[12.530457,52.805947,12.792447,53.047073]
Stadt Templin;afs-templin;[13.321424,52.986933,13.671639,53.217635]
Stadt Trebbin;afs-trebbin;[13.083022,52.151459,13.329502,52.273086]
Stadt Treuenbrietzen;afs-treuenbrietzen;[12.699037,51.979383,13.026732,52.187509]
Gemeinde Uckerland;afg-uckerland;[13.625801,53.386726,13.918493,53.559062]
Landkreis Uckermark;lk-uckermark;[13.2397842,52.931489399,14.4505651,53.559090699]
Amt Unterspreewald;amt-unterspreewald;[13.410966,51.894705,13.935842,52.133166]
Stadt Velten;afs-velten;[13.150741,52.657896,13.25013,52.719247]
Stadt Vetschau (Spreewald) / W?tošow (B?ota);afs-vetschauspreewald;[13.986902,51.694587,14.14351,51.861883]
Gemeinde Wandlitz;afg-wandlitz;[13.392259,52.635465,13.596533,52.876634]
Stadt Welzow / Wjelcej;afs-welzow;[14.146116,51.52776,14.282098,51.591659]
Stadt Werder (Havel);afs-werder-(havel);[12.800398,52.298848,12.969702,52.460387]
Stadt Werneuchen;afs-werneuchen;[13.637256,52.578418,13.85881,52.713657]
Gemeinde Wiesenburg/Mark;afg-wiesenburgmark;[12.257088,52.000757,12.581432,52.178799]
Stadt Wildau;afs-wildau;[13.589771,52.30564,13.646288,52.341619]
Stadt Wittenberge;afs-wittenberge;[11.683563,52.957134,11.848102,53.065453]
Stadt Wittstock/Dosse;afs-wittstockdosse;[12.302557,53.026272,12.75829,53.321281]
Gemeinde Woltersdorf;afg-woltersdorf;[13.720581,52.43071,13.801772,52.467114]
Stadt Wriezen;afs-wriezen;[13.976718,52.663554,14.2567,52.782516]
Gemeinde Wusterhausen/Dosse;afg-wusterhausendosse;[12.426369,52.79053,12.652691,53.015252]
Gemeinde Wustermark;afg-wustermark;[12.871246,52.501654,13.019614,52.578477]
Amt Wusterwitz;amt-wusterwitz;[12.273241,52.302587,12.42293,52.454152]
Stadt Zehdenick;afs-zehdenick;[13.209753,52.901476,13.517567,53.079348]
Gemeinde Zeuthen;afg-zeuthen;[13.56072,52.310718,13.653149,52.369221]
Amt Ziesar;amt-ziesar;[12.215847,52.134361,12.526925,52.32651]
Stadt Zossen;afs-zossen;[13.291891,52.092132,13.582319,52.282448]
